[legacy_mvp]
analyze_k_stats.py | tracked=true | legacy MVP/raw-scan path not part of current mainline | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- analyze_k_stats.py
tools/audit_s5_dense_export_convention.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5_dense_export_convention.py
tools/audit_s5_external_export_compatibility.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5_external_export_compatibility.py
tools/audit_s5d10_cuda_stable_validation.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5d10_cuda_stable_validation.py
tools/audit_s5d11_nonselected_edge_failures.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5d11_nonselected_edge_failures.py
tools/audit_s5d11_validation_concurrency.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5d11_validation_concurrency.py
tools/audit_s5d12_dense_fill_path.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5d12_dense_fill_path.py
tools/audit_s5d7_validation_oom.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5d7_validation_oom.py
tools/audit_s5e10_pair_order_observability.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e10_pair_order_observability.py
tools/audit_s5e11_geometric_observability.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e11_geometric_observability.py
tools/audit_s5e14_s5e13_direction_errors.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e14_s5e13_direction_errors.py
tools/audit_s5e15_under_scale_and_antiparallel.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e15_under_scale_and_antiparallel.py
tools/audit_s5e16_router_inputs.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e16_router_inputs.py
tools/audit_s5e17_router_activation_failure.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e17_router_activation_failure.py
tools/audit_s5e18_bearing_flow_direction_signal.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e18_bearing_flow_direction_signal.py
tools/audit_s5e19_architecture_integration.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e19_architecture_integration.py
tools/audit_s5e19_noop_export_path.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e19_noop_export_path.py
tools/audit_s5e19c_noop_guard.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e19c_noop_guard.py
tools/audit_s5e19d_direction_training_failure.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e19d_direction_training_failure.py
tools/audit_s5e20_kstep_composition.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e20_kstep_composition.py
tools/audit_s5e21_no_harm_gate.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e21_no_harm_gate.py
tools/audit_s5e6_tmag_outlier_failure.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e6_tmag_outlier_failure.py
tools/audit_s5e7_direction_scale_failure.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e7_direction_scale_failure.py
tools/audit_s5e8_translation_supervision_quality.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_s5e8_translation_supervision_quality.py
tools/audit_struct1_failure_modes.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_struct1_failure_modes.py
tools/audit_struct1_geometry_token_integrity.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_struct1_geometry_token_integrity.py
tools/audit_struct1b_scale_guard.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_struct1b_scale_guard.py
tools/audit_tdir_metric_provenance.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/audit_tdir_metric_provenance.py
tools/base360c_ittnotify_shim.c | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/base360c_ittnotify_shim.c
tools/base360c_official_python | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/base360c_official_python
tools/base360d_component_metric_alignment.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/base360d_component_metric_alignment.py
tools/buckets_to_csv.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/buckets_to_csv.py
tools/build_dset1_360dvo_multi_sequence_manifest.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/build_dset1_360dvo_multi_sequence_manifest.py
tools/build_dset2_360dvo_fuller_manifest.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/build_dset2_360dvo_fuller_manifest.py
tools/build_dset2b_360dvo_train360_manifest.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/build_dset2b_360dvo_train360_manifest.py
tools/build_dset2c_canonical_train360_manifest.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/build_dset2c_canonical_train360_manifest.py
tools/build_gen2_360dvo_pair_manifest.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/build_gen2_360dvo_pair_manifest.py
tools/build_s5e13_correspondence_weighted_dataset.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/build_s5e13_correspondence_weighted_dataset.py
tools/build_s5e20_kstep_training_pairs.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/build_s5e20_kstep_training_pairs.py
tools/build_s5e21_observability_gate_dataset.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/build_s5e21_observability_gate_dataset.py
tools/build_s5e2_adjacent_dense_dataset.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/build_s5e2_adjacent_dense_dataset.py
tools/compare_arch2_s5e21_s5e20_s5e15_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_arch2_s5e21_s5e20_s5e15_orbslam3.py
tools/compare_dset1_360dvo_vs_legacy_dataset.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_dset1_360dvo_vs_legacy_dataset.py
tools/compare_gen3_360dvo_data2_s5e15.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_gen3_360dvo_data2_s5e15.py
tools/compare_s5e10_s5e9_s5e8_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e10_s5e9_s5e8_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py
tools/compare_s5e11_s5e10_s5e9_s5e8_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e11_s5e10_s5e9_s5e8_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py
tools/compare_s5e12_s5e11_s5e10_s5e9_s5e8_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e12_s5e11_s5e10_s5e9_s5e8_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py
tools/compare_s5e13_s5e12_s5e9_s5e6_to_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e13_s5e12_s5e9_s5e6_to_s5e2_orbslam3.py
tools/compare_s5e14_s5e13_s5e12_s5e9_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e14_s5e13_s5e12_s5e9_orbslam3.py
tools/compare_s5e15_s5e14_s5e13_s5e9_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e15_s5e14_s5e13_s5e9_orbslam3.py
tools/compare_s5e16_s5e15_s5e14_s5e13_s5e9_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e16_s5e15_s5e14_s5e13_s5e9_orbslam3.py
tools/compare_s5e17_s5e16_s5e15_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e17_s5e16_s5e15_orbslam3.py
tools/compare_s5e18_s5e17_s5e15_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e18_s5e17_s5e15_orbslam3.py
tools/compare_s5e19_s5e15_s5e18_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e19_s5e15_s5e18_orbslam3.py
tools/compare_s5e19c_s5e19_s5e15_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e19c_s5e19_s5e15_orbslam3.py
tools/compare_s5e1_orbslam3_external.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e1_orbslam3_external.py
tools/compare_s5e20_s5e19c_s5e15_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e20_s5e19c_s5e15_orbslam3.py
tools/compare_s5e21_s5e20_s5e15_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e21_s5e20_s5e15_orbslam3.py
tools/compare_s5e2_orbslam3_external.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e2_orbslam3_external.py
tools/compare_s5e3_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e3_s5e2_orbslam3.py
tools/compare_s5e4_s5e3_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e4_s5e3_s5e2_orbslam3.py
tools/compare_s5e5_s5e4_s5e3_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e5_s5e4_s5e3_s5e2_orbslam3.py
tools/compare_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py
tools/compare_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py
tools/compare_s5e8_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e8_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py
tools/compare_s5e9_s5e8_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_s5e9_s5e8_s5e7_s5e6_s5e5_s5e4_s5e3_s5e2_orbslam3.py
tools/compare_struct1_arch2p_arch2_s5e15_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_struct1_arch2p_arch2_s5e15_orbslam3.py
tools/compare_struct1b_struct1_s5e15_orbslam3.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/compare_struct1b_struct1_s5e15_orbslam3.py
tools/download_dset1_360dvo_sequences.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/download_dset1_360dvo_sequences.py
tools/download_dset2_360dvo_fuller_sequences.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/download_dset2_360dvo_fuller_sequences.py
tools/download_dset2b_360dvo_sequences.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/download_dset2b_360dvo_sequences.py
tools/download_gen2b_360dvo_miniseq.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/download_gen2b_360dvo_miniseq.py
tools/eval_clean_policy.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/eval_clean_policy.py
tools/eval_train360_pose.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/eval_train360_pose.py
tools/evaluate_alignment_aware_component_diagnostics.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_alignment_aware_component_diagnostics.py
tools/evaluate_arch2_traceable_dense.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_arch2_traceable_dense.py
tools/evaluate_component_pose_diagnostics.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_component_pose_diagnostics.py
tools/evaluate_external_baseline_trajectory.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_external_baseline_trajectory.py
tools/evaluate_gen2_360dvo_external_smoke.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_gen2_360dvo_external_smoke.py
tools/evaluate_gen3_360dvo_external_predictions.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_gen3_360dvo_external_predictions.py
tools/evaluate_gen5_360dvo_t57b_external_eval.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_gen5_360dvo_t57b_external_eval.py
tools/evaluate_pairwise_pose_components.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_pairwise_pose_components.py
tools/evaluate_s5_pairwise_replay_diagnostics.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_s5_pairwise_replay_diagnostics.py
tools/evaluate_s5_traceable_dense_export.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_s5_traceable_dense_export.py
tools/evaluate_s5d8_selected_replay_comparison.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_s5d8_selected_replay_comparison.py
tools/evaluate_s5e10_traceable_dense.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_s5e10_traceable_dense.py
tools/evaluate_s5e11_traceable_dense.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_s5e11_traceable_dense.py
tools/evaluate_s5e12_feature_gate.py | tracked=true | tool not part of current mainline, SEQ360B variant, or required dependency set | recover: git checkout backup/pre-maint13-destructive-cleanup-20260514-174819 -- tools/evaluate_s5e12_feature_gate.py
